Date,Meals - Meal A,Snacks - Snack A,Meals - Meal A - type,Meals - Meal A - carbs,Meals - Meal A - fats,Meals - Meal A - proteins,Meals - Meal B - type,Meals - Meal B - carbs,Meals - Meal B - fats,Meals - Meal B - proteins,Meals - Meal C - type,Meals - Meal C - carbs,Meals - Meal C - fats,Meals - Meal C - proteins,Snacks - Snack A - type,Snacks - Snack A - carbs,Snacks - Snack A - fats,Snacks - Snack A - proteins,Snacks - Snack B - type,Snacks - Snack B - carbs,Snacks - Snack B - fats,Snacks - Snack B - proteins
2025-11-10,,,English Muffin with Egg and Sausage,30,31,20,Pork on Bun with Sauerkraut,40,48,40,Asian Chicken and Rice,100,40,70,Popcorn,100,34,14,,,,
2025-11-11,,,"4 Hard Boiled Eggs, 6 pc of Bacon, Two Slices of Toast, 1 Cup of Beans, 1 Bowl of Vector",110,49,65,4 Soft Shell Tacos with Cheese and Lettuce,84,40,36,2 Salmons with Roasted Veggies,30,40,80,,,,,,,,
2025-11-12,,,"3 Scrambled Eggs, Hash Browns, 3 Slices of Ham",60,46,53,Grilled Cheese and Sausage,43,45,30,"Meatloaf, Mashed Potatoes, Grilled Veggies, 1 Bowl of Vector Cereal and Spinach Salad",130,64,64,Popcorn,50,17,7,,,,
2025-11-13,,,"4 Sausages, 2 Hard Boiled Eggs, 1 Bowl of Vector Cereal",50,45,40,"Pasta with Marinara Sauce, 5 Meatballs, 2 cups of mushrooms",81,36,44,2 Chicken Fajitas with Cheese and 1 Bowl of Leak Soup,70,51,70,Popcorn,100,34,14,,,,
2025-11-14,,,"4 Hard Boiled Eggs, Baked Beans, 1 Bowl of Cereal, Banana Bread",132,48,32,"2 Slices of Pizza, 2 Cups of Salad, 1 Cup of Milk",91,42,38,Tilapia with Quinoa and Carrots and Moligotani Soup,67,26,65,Smartfood,46,32,8,,,,
2025-11-15,,,"6 Mini Sausages, Baken Beans, 2 Hard Boiled Eggs, 1 Bowl of Vector Cereal",103,30,38,"2 Turkey Burgers, Quinoa Salad, 250ml of Milk, 1 Cup of Cherry Tomato Feta Salad",66,44,80,"2 Chicken Thighs, 1 Cup of Rice, Chicken Noodle Soup",51,30,37,,,,,,,,
2025-11-16,,,"Chicken and Rice Stir Fry (Homemade), 1 Bowl of Vector Cereal, Carrot and Cream Soup",71,22,28,"Roast Beef, 1 Baked Potatoe, Green Peas, Salad",50,21,37,,,,,,,,,,,,
2025-11-17,,,"Two Eggs and Two Sausages between Two English Muffins, 1 Bowl of Vector Cereal and 3 Hard Boiled Eggs",100,48,55,2 Servings of Shepards Pie and 250 of Milk,65,45,45,,,,,Popcorn,50,17,7,2 NutriGrain Bars,52,7,4
2025-11-18,,,"2 Deep Fried Haddocks and Sweet Potato Fries, Salad",65,45,45,"2 Turkey and Lettuce Sandwiches, Pumpkin and Cream Soup, 500ml of Milk",96,38,50,,,,,2 Nutrigrain Bars,52,7,4,,,,
2025-11-19,,,"3 scrambled eggs, 2 slices of ham, 2 hard boiled eggs, home fries",30,48,42,50g of rice with 83g of sliced beef,14,13,23,48g of rice with 80g of sliced beef,13,12,22,8 Packs of Seaweed,16,8,8,Sweet Corn,39,15,3
2025-11-20,,,Fruit Smoothie with 30g Proetin Powder and 250ml Milk,41,2,34,50g of rice with 83g of sliced beef,14,13,23,,,,,2 Sweet Cords,78,30,4,5 Packs of Seaweed,10,5,5
2025-11-21,,,Smoothie with Protein Powder and 250ml of Milk,41,2,34,,,,,,,,,13 Packs of Seaweed,26,13,13,2 Packs of Popcorn,100,34,7
2025-11-22,,,Fruit Smoothie with 30g Proetin Powder and 250ml Milk,41,2,34,1 Hard Boiled Egg,1,5,6,beef fried rice with vegetables,25,19,16,Sweet Corn,39,15,3,Popcorn,50,17,7
2026-01-05,,,Hamburger,30,21,30,,,,,,,,,Smartfood,130,85,20,,,,
2026-01-06,,,Turkey and Rice Soup,44,4,16,,,,,,,,,Banana,27,0,1,Oikos Banana Yogurt,22,3,20
2026-01-07,,,300 ml Beet Soup Broth,6,0,1,"100 g Broccoli, 2 Crab Cakes, 100 g Turkey",27,15,50,,,,,Banana,27,0,1,Oikos Banana Greek Yogurt,24,4,22
